date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:13	374/374	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Mar%202023%2019:16:10%20GMT	https://www.harenamanasoa.org/robots.txt		(from )
20:16:13	487384/487384	---MCZ	200	added ('OK')	text/html	etag:W/%227f93c867c47bf242cbb3facf1af0c69e%22	https://www.harenamanasoa.org/	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/index.html	(from )
20:16:13	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/asso/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.harenamanasoa.org/)
20:16:13	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/asso/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.harenamanasoa.org/)
20:16:14	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2005%20Mar%202023%2016:54:09%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/asso/polyfill.io/v3/polyfill.mind82c.js	(from https://www.harenamanasoa.org/)
20:16:14	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/asso/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.harenamanasoa.org/)
20:16:14	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Mar%202023%2019:16:12%20GMT	https://www.harenamanasoa.org/decodeURIComponent(e	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/decodeURIComponent(e.4.delayed	(from https://www.harenamanasoa.org/)
20:16:16	484/484	---M--	200	added ('OK')	text/xml	date:Tue,%2014%20Mar%202023%2019:16:13%20GMT	https://www.harenamanasoa.org/sitemap.xml	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/sitemap.xml	(from https://www.harenamanasoa.org/)
20:16:16	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Mar%202023%2019:16:13%20GMT	https://www.harenamanasoa.org/feed.xml	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/feed.6.delayed	(from https://www.harenamanasoa.org/)
20:16:16	81745/81745	---M-Z	200	added ('OK')	application/javascript	etag:W/%2231f6b87740023e806e1b82f0e899f438%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.4fb5921b.bundle.min.js	C:/My%20Web%20Sites/asso/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.4fb5921b.bundle.min.js	(from https://www.harenamanasoa.org/)
